,Date,Type,Distance_km,Hours,Minutes,Seconds,Time_h,Calories,ElevGain_m,AvgSpeed_km/h,Year,Month
71,5/4/2018,Running,6.79,0,38,4,0.634444444,388,97,10.70227671,2018,5
72,6/13/2018,Running,5.06,0,31,27,0.524166667,297,69,9.653418124,2018,6
73,6/14/2018,Cycling,18.63,0,57,32,0.958888889,285,,19.42873696,2018,6
74,6/17/2018,Cycling,19.69,0,59,59,0.999722222,300,,19.69547096,2018,6
75,6/21/2018,Running,6.29,0,38,39,0.644166667,368,76,9.764553687,2018,6
76,6/25/2018,Cycling,19.69,1,0,32,1.008888889,327,,19.51651982,2018,6
77,6/26/2018,Cycling,24.17,1,15,17,1.254722222,399,,19.26322781,2018,6
78,6/27/2018,Running,7.8,0,49,41,0.828055556,462,152,9.419657833,2018,6
79,6/28/2018,Walking,7.82,1,28,54,1.481666667,308,153,5.27784027,2018,6
80,6/29/2018,Cycling,24.2,1,11,47,1.196388889,410,,20.22753657,2018,6
81,7/2/2018,Cycling,24.05,1,11,59,1.199722222,405,,20.04630702,2018,7
82,7/4/2018,Cycling,24.01,1,9,37,1.160277778,412,,20.69332056,2018,7
83,7/5/2018,Walking,7.38,1,23,49,1.396944444,290,139,5.282958839,2018,7
84,7/6/2018,Cycling,26.26,1,16,50,1.280555556,448,,20.50672451,2018,7
85,7/8/2018,Cycling,26.27,1,16,31,1.275277778,450,,20.59943367,2018,7
86,7/11/2018,Cycling,33.48,1,35,33,1.5925,,,21.02354788,2018,7
87,8/8/2018,Walking,5.29,1,4,12,1.07,222,68,4.943925234,2018,8
88,8/9/2018,Running,10.13,1,10,1,1.166944444,620,194,8.680790288,2018,8
89,8/11/2018,Walking,2.44,0,35,23,0.589722222,123,69,4.137541215,2018,8
90,8/12/2018,Running,10.16,1,5,26,1.090555556,604,193,9.316352522,2018,8
91,8/13/2018,Walking,5.32,1,0,31,1.008611111,210,68,5.274580006,2018,8
92,8/14/2018,Running,10.04,1,6,54,1.115,605,206,9.004484305,2018,8
93,8/17/2018,Walking,5.29,1,3,14,1.053888889,219,73,5.019504481,2018,8
94,8/18/2018,Walking,4.8,0,58,7,0.968611111,,,4.955549183,2018,8
95,8/19/2018,Running,10.21,1,8,15,1.1375,616,201,8.975824176,2018,8
96,11/14/2018,Running,8.66,0,40,0,0.666666667,481,,12.99,2018,11
97,12/17/2018,Running,10.14,0,57,15,0.954166667,580,207,10.62707424,2018,12
